000DM-L171G0001,ERC,Level 1
000DM-L171G0002,ERC,Level 1
000DM-L171G0003,ERC,Level 1
000DM-L171G0004,ERC,Level 1
000DM-L171G0005,ERC,Level 1
000DM-L171G0006,ERC,Level 1
000DW-L10510001,Giblin Eunson,Level 1
000DW-L10510002,Giblin Eunson,Level 1
000DW-L10510003,Giblin Eunson,Level 1
000DW-L10510004,Giblin Eunson,Level 1
000DW-L10510005,Giblin Eunson,Level 1
000DW-L10510006,Giblin Eunson,Level 1
000DW-L10510007,Giblin Eunson,Level 1
000DW-L10510008,Giblin Eunson,Level 1
000DW-L10510009,Giblin Eunson,Level 1
000DW-L10510010,Giblin Eunson,Level 1
000DW-L10510011,Giblin Eunson,Level 1
000DW-L10510012,Giblin Eunson,Level 1
000DW-L10510013,Giblin Eunson,Level 1
000DW-L105G0001,Giblin Eunson,Ground
000DW-L105G0002,Giblin Eunson,Ground
000DW-L105G0003,Giblin Eunson,Ground
000DW-L105G0004,Giblin Eunson,Ground
000DW-L105G0005,Giblin Eunson,Ground
000DW-L105G0006,Giblin Eunson,Ground
000DW-L105G0007,Giblin Eunson,Ground
000DW-L105G0008,Giblin Eunson,Ground
000DW-L105G0009,Giblin Eunson,Ground
000DW-L105G0010,Giblin Eunson,Ground
000DW-L105G0011,Giblin Eunson,Ground
000DW-L105G0012,Giblin Eunson,Ground
000DW-L105G0013,Giblin Eunson,Ground
000DW-L105G0014,Giblin Eunson,Ground
000DW-L105G0015,Giblin Eunson,Ground
000DW-L105G0016,Giblin Eunson,Ground
000DW-L105G0017,Giblin Eunson,Ground
000DW-L105G2001,VetSci,G20
000DW-L105G2002,VetSci,G20
000DW-L105G2003,VetSci,G20
000DW-L105G2004,VetSci,G20
000DW-L105G2005,VetSci,G20
000DW-L105G2006,VetSci,G20
000DW-L105G2007,VetSci,G20
000DW-L105M0001,Giblin Eunson,Mezzanine
000DW-L105M0002,Giblin Eunson,Mezzanine
000DW-L105M0003,Giblin Eunson,Mezzanine
000DW-L105M0004,Giblin Eunson,Mezzanine
000DW-L105M0005,Giblin Eunson,Mezzanine
000DW-L105M0006,Giblin Eunson,Mezzanine
000DW-L105M0007,Giblin Eunson,Mezzanine
000DW-L105M0008,Giblin Eunson,Mezzanine
000DW-L105M0009,Giblin Eunson,Mezzanine
000DW-L105M0010,Giblin Eunson,Mezzanine
000DW-L105M0011,Giblin Eunson,Mezzanine
000DW-L105M0012,Giblin Eunson,Mezzanine
000DW-L105M0013,Giblin Eunson,Mezzanine
000DW-L105M0014,Giblin Eunson,Mezzanine
000DW-L105M0015,Giblin Eunson,Mezzanine
000DW-L105M0016,Giblin Eunson,Mezzanine
000DW-L105M0017,Giblin Eunson,Mezzanine
000DW-L105M0018,Giblin Eunson,Mezzanine
000DW-L105M0019,Giblin Eunson,Mezzanine
000DW-L105M0020,Giblin Eunson,Mezzanine
000DW-L105M0021,Giblin Eunson,Mezzanine
000DW-L105M0022,Giblin Eunson,Mezzanine
000DW-L105M0023,Giblin Eunson,Mezzanine
000DW-L105M0024,Giblin Eunson,Mezzanine
000DW-L105M0025,Giblin Eunson,Mezzanine
000DW-L105M0026,Giblin Eunson,Mezzanine
000DW-L105M0027,Giblin Eunson,Mezzanine
000DW-L105M0028,Giblin Eunson,Mezzanine
000DW-L10630001,Law,Level 3
000DW-L10630002,Law,Level 3
000DW-L10640001,Law,Level 4
000DW-L10640002,Law,Level 4
000DW-L10640003,Law,Level 4
000DW-L10640004,Law,Level 4
000DW-L10640005,Law,Level 4
000DW-L10640006,Law,Level 4
000DW-L10640007,Law,Level 4
000DW-L10640008,Law,Level 4
000DW-L10640009,Law,Level 4
000DW-L10640010,Law,Level 4
000DW-L10640011,Law,Level 4
000DW-L10640012,Law,Level 4
000DW-L10640013,Law,Level 4
000DW-L10640014,Law,Level 4
000DW-L10640015,Law,Level 4
000DW-L10650001,Law,Level 5
000DW-L10650002,Law,Level 5
000DW-L10650003,Law,Level 5
000DW-L10650004,Law,Level 5
000DW-L14820001,Music,Level 2
000DW-L14820002,Music,Level 2
000DW-L14820003,Music,Level 2
000DW-L14820004,Music,Level 2
000DW-L14820005,Music,Level 2
000DW-L14820006,Music,Level 2
000DW-L14820007,Music,Level 2
000DW-L14820008,Music,Level 2
000DW-L14830001,Music,Level 3
000DW-L17110003,ERC,Level 1
000DW-L17110004,ERC,Level 1
000DW-L17110005,ERC,Level 1
000DW-L17110006,ERC,Level 1
000DW-L17110007,ERC,Level 1
000DW-L17110008,ERC,Level 1
000DW-L17110009,ERC,Level 1
000DW-L17110010,ERC,Level 1
000DW-L17110011,ERC,Level 1
000DW-L17110012,ERC,Level 1
000DW-L17110013,ERC,Level 1
000DW-L17110014,ERC,Level 1
000DW-L17110015,ERC,Level 1
000DW-L17110016,ERC,Level 1
000DW-L17110017,ERC,Level 1
000DW-L17110018,ERC,Level 1
000DW-L17110019,ERC,Level 1
000DW-L17110020,ERC,Level 1
000DW-L17110021,ERC,Level 1
000DW-L17110022,ERC,Level 1
000DW-L17110023,ERC,Level 1
000DW-L17110024,ERC,Level 1
000DW-L17110025,ERC,Level 1
000DW-L17110026,ERC,Level 1
000DW-L17110027,ERC,Level 1
000DW-L17110028,ERC,Level 1
000DW-L17110101,ERC,Level 1
000DW-L17110102,ERC,Level 1
000DW-L17110103,ERC,Level 1
000DW-L17110104,ERC,Level 1
000DW-L17110105,ERC,Level 1
000DW-L17110106,ERC,Level 1
000DW-L17110107,ERC,Level 1
000DW-L17110108,ERC,Level 1
000DW-L17110109,ERC,Level 1
000DW-L17110110,ERC,Level 1
000DW-L17110111,ERC,Level 1
000DW-L17110112,ERC,Level 1
000DW-L17110113,ERC,Level 1
000DW-L17110114,ERC,Level 1
000DW-L17110115,ERC,Level 1
000DW-L17110116,ERC,Level 1
000DW-L17110117,ERC,Level 1
000DW-L17110118,ERC,Level 1
000DW-L17110119,ERC,Level 1
000DW-L17110120,ERC,Level 1
000DW-L17110121,ERC,Level 1
000DW-L17110122,ERC,Level 1
000DW-L17110123,ERC,Level 1
000DW-L17110124,ERC,Level 1
000DW-L17110125,ERC,Level 1
000DW-L17110126,ERC,Level 1
000DW-L17110127,ERC,Level 1
000DW-L17110128,ERC,Level 1
000DW-L17110129,ERC,Level 1
000DW-L17110130,ERC,Level 1
000DW-L17110131,ERC,Level 1
000DW-L17110132,ERC,Level 1
000DW-L17120001,ERC,Level 2
000DW-L17120002,ERC,Level 2
000DW-L17120003,ERC,Level 2
000DW-L17120004,ERC,Level 2
000DW-L17120005,ERC,Level 2
000DW-L17120006,ERC,Level 2
000DW-L17120007,ERC,Level 2
000DW-L17120008,ERC,Level 2
000DW-L17120009,ERC,Level 2
000DW-L17120010,ERC,Level 2
000DW-L17120011,ERC,Level 2
000DW-L17120012,ERC,Level 2
000DW-L17120013,ERC,Level 2
000DW-L17120014,ERC,Level 2
000DW-L17130001,ERC,Level 3
000DW-L17130002,ERC,Level 3
000DW-L17130003,ERC,Level 3
000DW-L17130004,ERC,Level 3
000DW-L17130005,ERC,Level 3
000DW-L17130006,ERC,Level 3
000DW-L17130007,ERC,Level 3
000DW-L17130008,ERC,Level 3
000DW-L17130009,ERC,Level 3
000DW-L17130010,ERC,Level 3
000DW-L17130011,ERC,Level 3
000DW-L17130012,ERC,Level 3
000DW-L17130013,ERC,Level 3
000DW-L17130014,ERC,Level 3
000DW-L17130015,ERC,Level 3
000DW-L17130016,ERC,Level 3
000DW-L17130017,ERC,Level 3
000DW-L17130018,ERC,Level 3
000DW-L17130019,ERC,Level 3
000DW-L17130020,ERC,Level 3
000DW-L17130021,ERC,Level 3
000DW-L17130022,ERC,Level 3
000DW-L17130023,ERC,Level 3
000DW-L17150302,ERC,Level 4
000DW-L17150302,ERC,Level 5
000DW-L17150303,ERC,Level 4
000DW-L17150303,ERC,Level 5
000DW-L17150304,ERC,Level 4
000DW-L17150304,ERC,Level 5
000DW-L17150305,ERC,Level 4
000DW-L17150305,ERC,Level 5
000DW-L17710001,Baillieu,Level 1
000DW-L17710002,Baillieu,Level 1
000DW-L17710003,Baillieu,Level 1
000DW-L17710004,Baillieu,Level 1
000DW-L17710005,Baillieu,Level 1
000DW-L17710006,Baillieu,Level 1
000DW-L17710007,Baillieu,Level 1
000DW-L17710008,Baillieu,Level 1
000DW-L17710009,Baillieu,Level 1
000DW-L17710010,Baillieu,Level 1
000DW-L17710011,Baillieu,Level 1
000DW-L17710012,Baillieu,Level 1
000DW-L17710013,Baillieu,Level 1
000DW-L17710014,Baillieu,Level 1
000DW-L17710015,Baillieu,Level 1
000DW-L17710016,Baillieu,Level 1
000DW-L17710017,Baillieu,Level 1
000DW-L17710018,Baillieu,Level 1
000DW-L17710019,Baillieu,Level 1
000DW-L17710020,Baillieu,Level 1
000DW-L17710021,Baillieu,Level 1
000DW-L17710022,Baillieu,Level 1
000DW-L17710023,Baillieu,Level 1
000DW-L17710024,Baillieu,Level 1
000DW-L17710025,Baillieu,Level 1
000DW-L17710026,Baillieu,Level 1
000DW-L17710027,Baillieu,Level 1
000DW-L17710028,Baillieu,Level 1
000DW-L17710029,Baillieu,Level 1
000DW-L17710030,Baillieu,Level 1
000DW-L17710031,Baillieu,Level 1
000DW-L17710032,Baillieu,Level 1
000DW-L17710034,Baillieu,Level 1
000DW-L17710035,Baillieu,Level 1
000DW-L17710036,Baillieu,Level 1
000DW-L17710037,Baillieu,Level 1
000DW-L17710038,Baillieu,Level 1
000DW-L17710039,Baillieu,Level 1
000DW-L17710040,Baillieu,Level 1
000DW-L17710041,Baillieu,Level 1
000DW-L17710042,Baillieu,Level 1
000DW-L17710043,Baillieu,Level 1
000DW-L17710044,Baillieu,Level 1
000DW-L17710045,Baillieu,Level 1
000DW-L17710046,Baillieu,Level 1
000DW-L17710047,Baillieu,Level 1
000DW-L17710048,Baillieu,Level 1
000DW-L17710049,Baillieu,Level 1
000DW-L17710050,Baillieu,Level 1
000DW-L17710051,Baillieu,Level 1
000DW-L17710052,Baillieu,Level 1
000DW-L17710053,Baillieu,Level 1
000DW-L17710054,Baillieu,Level 1
000DW-L17710055,Baillieu,Level 1
000DW-L17710056,Baillieu,Level 1
000DW-L17710057,Baillieu,Level 1
000DW-L17710058,Baillieu,Level 1
000DW-L17710059,Baillieu,Level 1
000DW-L17710060,Baillieu,Level 1
000DW-L17710061,Baillieu,Level 1
000DW-L17710062,Baillieu,Level 1
000DW-L17710063,Baillieu,Level 1
000DW-L17710064,Baillieu,Level 1
000DW-L17710065,Baillieu,Level 1
000DW-L17710066,Baillieu,Level 1
000DW-L17710067,Baillieu,Level 1
000DW-L17720001,Baillieu,Level 2
000DW-L17720002,Baillieu,Level 2
000DW-L17720003,Baillieu,Level 2
000DW-L17720004,Baillieu,Level 2
000DW-L17720005,Baillieu,Level 2
000DW-L17730007,Baillieu,Level 3
000DW-L177B0001,Baillieu,Basement
000DW-L177B0002,Baillieu,Basement
000DW-L177B0003,Baillieu,Basement
000DW-L177B0004,Baillieu,Basement
000DW-L177B0005,Baillieu,Basement
000DW-L177B0006,Baillieu,Basement
